case_name,model_name,collision,collocation,nh,Time,nb_iter,calc_time
poly-field-3,cinematic,2023,Runge_Kutta,101,6.0441502604929935,177,13.538999795913696
poly-field-3,dynamic,2012,Runge_Kutta,101,12.100237666125146,1000,84.68999981880188
poly-field-3,dynamic,2017,Runge_Kutta,101,4.231210566601671,346,23.417999982833862
poly-field-3,dynamic,2017 penetration,Runge_Kutta,101,4.741706284570076,469,28.007999897003174
poly-field-3,dynamic,2023,Runge_Kutta,101,3.122917027108114,134,10.953999996185303
poly-field-3,cinematic,2012,Crank_Nicolson,101,6.036304793084911,477,33.74399995803833
poly-field-3,cinematic,2017,Crank_Nicolson,101,7.007489177083286,308,14.490000009536743
poly-field-3,cinematic,2017 penetration,Crank_Nicolson,101,6.033856087819449,265,13.90499997138977
poly-field-3,cinematic,2023,Crank_Nicolson,101,6.044862364695721,525,35.508999824523926
poly-field-3,dynamic,2012,Crank_Nicolson,101,3.114226535236264,369,27.430000066757202
poly-field-3,dynamic,2017,Crank_Nicolson,101,3.3436116404589282,237,11.71399998664856
poly-field-3,dynamic,2017 penetration,Crank_Nicolson,101,3.934540966887235,383,19.500999927520752
poly-field-3,dynamic,2023,Crank_Nicolson,101,3.1232424061806805,101,8.263000011444092
poly-field-3,cinematic,2012,RadauIIA-2,101,7.0775787693147505,1000,83.98499989509583
poly-field-3,cinematic,2017,RadauIIA-2,101,7.018858649162548,407,22.736999988555908
poly-field-3,cinematic,2017 penetration,RadauIIA-2,101,6.033660729762511,257,11.485000133514404
poly-field-3,cinematic,2023,RadauIIA-2,101,6.044633825649086,243,16.200000047683716
poly-field-3,dynamic,2012,RadauIIA-2,101,3.1141344533599558,563,44.94500017166138
poly-field-3,dynamic,2017,RadauIIA-2,101,3.343523883862127,209,14.71399998664856
poly-field-3,dynamic,2017 penetration,RadauIIA-2,101,985.2460719755533,1000,55.4760000705719
poly-field-3,dynamic,2023,RadauIIA-2,101,3.123140886580971,83,6.355000019073486
poly-field-5,cinematic,2012,implicit_Euler,51,7.262125957902755,1000,38.44999980926514
poly-field-5,cinematic,2017,implicit_Euler,51,8.346924655600445,112,3.9739999771118164
poly-field-5,cinematic,2017 penetration,implicit_Euler,51,8.53245582530369,230,25.694000005722046
poly-field-5,cinematic,2023,implicit_Euler,51,6.3079056516879115,177,7.121000051498413
poly-field-5,dynamic,2012,implicit_Euler,51,3.2214762222368893,378,16.49400019645691
poly-field-5,dynamic,2017,implicit_Euler,51,4.073561845050298,231,7.23199987411499
poly-field-5,dynamic,2017 penetration,implicit_Euler,51,3.6087931158099957,384,11.825999975204468
poly-field-5,dynamic,2023,implicit_Euler,51,3.2410402452074125,407,17.2260000705719
poly-field-5,cinematic,2012,Runge_Kutta,51,6.275508564255903,73,4.008000135421753
poly-field-5,cinematic,2017,Runge_Kutta,51,6.275568082932669,89,3.9529998302459717
poly-field-5,cinematic,2017 penetration,Runge_Kutta,51,6.263382744900048,254,11.180999994277954
poly-field-5,cinematic,2023,Runge_Kutta,51,6.306209622675089,69,4.142000198364258
poly-field-5,dynamic,2012,Runge_Kutta,51,3.2212911189973186,76,4.661999940872192
poly-field-5,dynamic,2017,Runge_Kutta,51,3.2213295618351796,216,9.200000047683716
poly-field-5,dynamic,2017 penetration,Runge_Kutta,51,3.203996870569074,315,16.384999990463257
poly-field-5,dynamic,2023,Runge_Kutta,51,3.2409038108143213,52,3.075000047683716
poly-field-5,cinematic,2012,Crank_Nicolson,51,6.276462177331787,87,3.8259999752044678
poly-field-5,cinematic,2017,Crank_Nicolson,51,6.558919814129823,237,10.34000015258789
poly-field-5,cinematic,2017 penetration,Crank_Nicolson,51,6.263609625862401,237,7.775000095367432
poly-field-5,cinematic,2023,Crank_Nicolson,51,6.307905651687911,308,30.342000007629395
poly-field-5,dynamic,2012,Crank_Nicolson,51,3.22147622223689,372,19.82800006866455
poly-field-5,dynamic,2017,Crank_Nicolson,51,3.7497456753785854,258,11.926999807357788
poly-field-5,dynamic,2017 penetration,Crank_Nicolson,51,156.81823089429915,1000,62.21600008010864
poly-field-5,dynamic,2023,Crank_Nicolson,51,3.241040245207411,433,21.758999824523926
poly-field-5,cinematic,2012,RadauIIA-2,51,6.275879802936801,147,36.72000002861023
poly-field-5,cinematic,2017,RadauIIA-2,51,6.556586025364087,180,6.273000001907349
poly-field-5,cinematic,2017 penetration,RadauIIA-2,51,8.119222643209685,269,12.015000104904175
poly-field-5,cinematic,2023,RadauIIA-2,51,6.949938185008967,562,26.567000150680542
poly-field-5,dynamic,2012,RadauIIA-2,51,3.2214206302090984,341,20.346999883651733
poly-field-5,dynamic,2017,RadauIIA-2,51,3.7508086265799765,208,8.58899998664856
poly-field-5,dynamic,2017 penetration,RadauIIA-2,51,4.8845778195623355,287,32.07299995422363
poly-field-5,dynamic,2023,RadauIIA-2,51,3.241002558881391,189,11.639000177383423
poly-field-5,cinematic,2012,implicit_Euler,101,6.208492169428554,98,11.491999864578247
poly-field-5,cinematic,2017,implicit_Euler,101,7.836825932979328,323,22.932999849319458
poly-field-5,cinematic,2017 penetration,implicit_Euler,101,6.196827732405911,370,21.92799997329712
poly-field-5,cinematic,2023,implicit_Euler,101,6.238708621105847,98,7.444999933242798
poly-field-5,dynamic,2012,implicit_Euler,101,3.244293961794934,105,7.696000099182129
poly-field-5,dynamic,2017,implicit_Euler,101,4.094865881937433,105,5.8349997997283936
poly-field-5,dynamic,2017 penetration,implicit_Euler,101,4.483499753074321,193,10.782000064849854
